Estate Name,Plus Code,Roast Level,Description,,
"Potosi, Colombia",FFPG+PM,Light,"Very fruity with notes of cranberry, apples and highly acidic. One of the best coffees I’ve had. The roaster -Rave Coffee - did a fantastic job with profiling the roast. Best coffee I’ve had ever. Best enjoyed as an iced pour over.",,
Istanbul,2X7G+VF,Dark,"I don’t know which estate this came from, but this Turkish coffee was brilliant. It was nutty, sweet, chocolatey and heavy bodied.",,
Kolli Berri Estate,5M54+MP,Medium-Dark,"This was best brewed using a Moka Pot. Super chocolatey and very enjoyable with milk. One of the best Espresso-style, but not espresso coffees I’ve made.",,
Baarbara Estate,CQ49+7C,Light-Medium,"I have tried multiple coffees from this estate. All of them either light or medium roast and the light roasts were fruity and not very acidic. The medium roasts were better made in a V60, instead of a Moka Pot and both medium and light roast made great iced pour overs. The medium roasts were medium-bodied with a great balance of chocolatey notes and fruity notes.",,
Riverdale Estate,V679+JJ,Light,"THIS IS BY FAR MY FAVORITE INDIAN COFEE ESTATE. I’ve had far too many coffees from here to remember. But, my favorite ones were those that were pineapple fermented and mixed fruit fermented. All of them were very tea-like in terms of body, but a tad bit more acidic than tea. Their experimental processes are very innovative, brave and well executed.",,
Kerehaklu Estate,CCF6+XQ7,Medium-Dark,Brilliant coffee for Moka Pot and milky coffees. If you want moka pot coffee with cold milk and some ice - This is it. Kolli Berri estate’s beans were better for hot moka pot coffee with/without ice. But this one was nutty and heavy bodied.,,
"Narmada estate, Chikmagalur",6C8V+P46,Medium,"A bit underwhelming, I guess it’s because of an slightly uneven roast from Kapi Kottai. I wouldn’t blame them, since it was right after a week of floods in Chennai and they were struggling to meet demand in the days after the floods because of shut operations. It was just a bit fruity and tad bit floral.",,
"Thandigudi, Ram estate",7MRG+6Q6,Light-Medium,"This was the second chance I gave Kapi Kottai and boy was it good. Light-bodied, great with or without iced and best made as a pour over. Fruity, yes, but also not acidic.",,
Biligirirangan Hills,X323+CH,Medium-Dark,"Meh. Just that. Meh. Woody, slightly nutty with a hint of spices and that’s it. Nothing to write home about.",,
Ratnagiri Estate,9J7C+XCX,Light-Medium,"Brilliant stuff from Ratnagiri Estate and the roaster - Blue Tokai. It was a Producer Series from the roaster. Notes of apple, medium acidity and very tea-like body and very nice sweetness. There was a unique syrupy mouthfeel that came with a light hit of sweetness that was enjoyable. Reminds of Riverdale Estate coffee.",,
Orchardale,V69G+GR,Medium,"Another hit from MSP Estates. A naturals process and light roast from Naivo. One of the 2-3 coffees I’ve had with a notable, unique mouthfeel. Medium acidity with very peachy notes and sweetness.",,
Araku,8RXF+C3,Medium,"Nothing very special, but also, not at all bad. It was good coffee, very versatile with brewing methods. Was great hot/iced, with and without milk. Love that it could make 4-5 different types of coffee drinks with the same beans.",,
